name,train_seconds,batch_ms_per_item,single_ms,batch_size,model_bytes,process_rss_mb,accuracy,macro_f1,weighted_f1,top2_accuracy,macro_ap
dummy,0.16980360000161454,0.02611250630494177,1.3488000004144851,1983,75086,173.16015625,0.017650025214321734,0.00045049103522839894,0.00061224071605675,0.03429147755925366,0.01298701298701299
lr_base,3.654718799996772,0.02922002017067168,3.1433000003744382,1983,4199951,177.35546875,0.8164397377710539,0.8097037008044505,0.8150885669267216,0.91880988401412,0.8484551086989728
svm_c0.5,0.5566433999993023,0.02604926878333562,1.0314999999536667,1983,1891971,171.18359375,0.8547655068078669,0.8519275487764415,0.8535974570032314,0.9213313161875946,0.8878642010088803
svm_c1,0.6121009999988019,0.027032929904163294,0.975899998593377,1983,1654701,171.921875,0.8512355017650025,0.8500156635623753,0.8500977195659856,0.9223398890569844,0.892556302717611
svm_c2,0.6836559000003035,0.026658144226706686,1.0179999990214128,1983,1505145,173.16796875,0.8527483610690872,0.8515184675685769,0.8518298873506519,0.9178013111447302,0.8930565551797583
nb_a0.1,0.20723109999744338,0.030767170953225256,2.832699999999022,1983,4453143,177.1484375,0.7236510337871911,0.7122023102409826,0.7169650879895324,0.8396369137670197,0.7804246130353018
nb_a1,0.19432610000148998,0.029014523448679688,2.733300003455952,1983,4419551,177.4921875,0.7423096318709027,0.7249529035773351,0.7348466646620601,0.8623298033282905,0.7960012556871352
lr_c0.5,2.5108331000010367,0.02946964195779531,2.899700000853045,1983,4199351,172.57421875,0.7735753908219869,0.7511902795295216,0.7673384469619324,0.8860312657589511,0.7976944448940895
lr_c2,4.19887369999924,0.02949768028241574,2.7990999988105614,1983,4200561,173.5234375,0.8391326273323247,0.8346864165642911,0.8382348340897884,0.9248613212304589,0.8819656240827379
lr_case,3.8325875000009546,0.029510943015735123,2.9234000030555762,1983,4375365,170.43359375,0.8139183055975794,0.8040587301211306,0.8117120767774888,0.9117498739283914,0.840625592394138
lr_punct,3.6678768000019772,0.031735753908587135,2.7848999998241197,1983,4199984,171.484375,0.8164397377710539,0.8097037008044505,0.8150885669267216,0.91880988401412,0.8484551086989728
lr_stop,2.0458322999984375,0.02156303580438829,1.9347999987076037,1983,2278388,170.2734375,0.7871911245587494,0.7793898606230723,0.7857228426201598,0.8840141200201714,0.8195270855973867
lr_lemma,7.509266999997635,0.09087614725196881,2.9326999974728096,1983,4100333,291.3359375,0.8275340393343419,0.8206344807487737,0.826105100444122,0.9218356026222895,0.8531697300905218
lr_unigram,1.017604199998459,0.018357690368396,1.29920000108541,1983,724970,285.30078125,0.8381240544629349,0.829420165821168,0.8363457367246817,0.9193141704488149,0.8749335895834648
lr_char,6.453828300000168,0.10353731719753623,3.8746999998693354,1983,4472765,294.1171875,0.848714069591528,0.8403495268784344,0.847346380992123,0.9203227433182047,0.8819512678423254
lr_vocab,2.7468955000003916,0.028846444778866567,2.2017000010237098,1983,2949574,288.43359375,0.8139183055975794,0.8062795076355016,0.8122103132774936,0.9167927382753404,0.8521814549812733
lr_balanced,2.725638500000059,0.029793091276065862,2.8359999996609986,1983,4200094,289.171875,0.8164397377710539,0.8183454876107226,0.817429232196999,0.9132627332324761,0.845634423992906
